fluid,family,Tr,T_K,p_ref_Pa,rho_ref_molm3,rhov_ref_molm3,hvap_ref_Jmol,p_srk_Pa,dev_p_srk,rho_srk_molm3,dev_rho_srk,dev_rhov_srk,hvap_srk_Jmol,dev_h_srk,p_pr_Pa,dev_p_pr,rho_pr_molm3,dev_rho_pr,dev_rhov_pr,hvap_pr_Jmol,dev_h_pr,dev_rho_prvt,dev_rho_prvtc,dev_rho_prvtz,rho_prvt_molm3,dev_rhov_prvt,p_srktwu_Pa,dev_p_srktwu,rho_srktwu_molm3,dev_rho_srktwu,dev_rhov_srktwu,hvap_srktwu_Jmol,dev_h_srktwu,p_prtwu_Pa,dev_p_prtwu,rho_prtwu_molm3,dev_rho_prtwu,dev_rhov_prtwu,hvap_prtwu_Jmol,dev_h_prtwu
ethane,Alkanes,0.6741025641025641,205.81834307693353,280439.60757608124,17166.465869527266,176.13679035017202,13803.235593072117,279677.20555412245,-0.27185960947115845,16435.65052738532,-4.257226546782923,-0.9787059878058205,14056.500077759003,1.8348196912179076,281002.8639616431,0.20084765858511197,18599.67592115532,8.348894073603068,-0.16995875055956217,13822.353898425297,0.13850597002615775,0.12049253862624733,-0.45137598828701364,47.7122017629719,17187.15018004587,-0.24746244464553452,281133.51264260715,0.24743475877873686,16428.840579740117,-4.296896608733722,-0.43400175078866926,13858.730835115603,0.4020451702739816,281413.34037049534,0.34721657287654456,18597.54007555706,8.336452109051388,-0.01541614514421723,13829.893808824943,0.19313019453356478
ethane,Alkanes,0.6865384615384615,209.6152961538568,328592.2632658112,16993.637236633163,204.43856577395692,13622.37249716619,328291.7852327809,-0.09144403767876322,16243.03230187785,-4.416976332395953,-0.8327929747032905,13873.21535153951,1.8414035765466024,329108.33977683634,0.15705680526253388,18387.757679744373,8.203779000918681,-0.207889242519835,13652.564252563949,0.22163360607000668,0.07298863797852446,-0.49261939598081406,46.90627261470777,17006.040660995193,-0.29776675466255387,329293.18747573096,0.21331123348840172,16238.748748270227,-4.4421831409677495,-0.510986158738521,13688.650513624507,0.48653798354217653,329611.8738910189,0.3102966013484353,18385.35293234432,8.18962813158703,-0.04486253404152223,13654.075552881306,0.23272785795360307
ethane,Alkanes,0.698974358974359,213.41224923078008,382706.10687492386,16817.712137112674,236.10531962466055,13435.20368201185,383011.0408912558,0.0796783774426606,16044.769324038078,-4.596004538387217,-0.6919838292433922,13682.27755102923,1.8390035228731438,383189.8555898711,0.12640214155384696,18169.034284052585,8.035112837719854,-0.22435459496868418,13475.075722695863,0.29677287838514066,0.006385702814467002,-0.5526568847783245,46.055862325073704,16818.786066229943,-0.3281050845473697,383427.0438844726,0.1883787576413896,16043.132240492418,-4.6057388205078365,-0.5763568615832998,13512.056593215619,0.5720263944093796,383779.21232066763,0.2803993525231318,18166.436404205622,8.019665553179708,-0.05915184069647918,13471.539603790938,0.2704530771478894
ethane,Alkanes,0.7114102564102565,217.20920230770335,443222.5700801044,16638.44672231319,271.422771178805,13241.292198918856,444293.9627316154,0.24172790914446712,15840.566687829938,-4.795399761765297,-0.5556785618803002,13483.102116014768,1.82618065867964,443700.3948938998,0.10780696788727033,17943.126997331656,7.841358612332532,-0.21959415636751625,13289.301514817149,0.36257273970747833,-0.08064227394543552,-0.6327992102334532,45.15873951159976,16625.029100527117,-0.33885682767848285,443987.827146975,0.17265751307120206,15841.681022856394,-4.788702411675753,-0.6297433402485941,13328.240393017999,0.6566443274036501,444364.90574985615,0.25773409272575815,17940.40892511268,7.825022518799643,-0.05728041750065088,13281.625632721769,0.3046034571022141
ethane,Alkanes,0.7238461538461538,221.0061553846266,510591.4478295079,16455.571610806837,310.70068888536815,13040.153629299408,512607.45570615726,0.3948377680862664,15630.101383966758,-5.016357051358642,-0.42347629745844795,13275.06136691563,1.8014184824357995,511103.27242905245,0.10024151436932797,17709.62125307815,7.6208209105768265,-0.19385522217933918,13094.60947604671,0.417601266789886,-0.18956250912029174,-0.7344970562157164,44.212463473897415,16424.378016371305,-0.3304233111335104,511439.0509256771,0.16600417021717706,15634.0556110085,-4.99232733586006,-0.6710254972502124,13136.449749672602,0.7384584807101496,511828.9505384992,0.24236651715415433,17706.852846557067,7.60399738972591,-0.03843912653375857,13083.631550194656,0.3334157106673874
ethane,Alkanes,0.7362820512820513,224.8031084615499,585270.5077254749,16268.787496373267,354.2772488532063,12831.24982121581,588425.4313161169,0.5390539159239319,15413.018046380705,-5.260191948437061,-0.29516910456963796,13057.476919390447,1.7630947984551129,585871.643600499,0.10271077511838358,17468.06142602344,7.371624528979326,-0.1473919400768033,12890.314295435925,0.46031738952237317,-0.3220026335960874,-0.8593600788006371,43.21435626100201,16216.401572180794,-0.30322905180648857,586254.5247975385,0.16813030198425746,15419.882703353036,-5.21799668973163,-0.7003078422666708,12935.88062508577,0.8154373527741559,586641.4092146902,0.23423382369684542,17465.309193399604,7.354707271780844,-0.001984364696734835,12876.805312080562,0.35503549147198576
ethane,Alkanes,0.7487179487179487,228.60006153847317,667725.2770995363,16077.759725388956,402.524380158548,12613.981918858406,672227.985542547,0.674335478592266,15188.92379697347,-5.528356833271333,-0.17073385792675713,12829.6104586138,1.7094406916266582,668488.1137487104,0.11424408740188957,17217.944524770694,7.09168950684859,-0.0804599813945675,12675.668032052257,0.4890296624068255,-0.47977312908694514,-1.0091791536777834,42.16146981859293,16000.622954467377,-0.2577192824558694,668917.9538096996,0.17861787640331758,15198.749895010953,-5.4672407436835115,-0.7178954377159591,12725.667050319176,0.8854074167792843,669282.1295886696,0.2331576387067475,17215.27133826946,7.075062896257986,0.052591163510069816,12660.335081030506,0.3674744618334964
ethane,Alkanes,0.7611538461538461,232.39701461539642,758429.0210350826,15882.11154834896,455.85435462770073,12387.682042245751,764500.6619492694,0.8005549294382636,14957.38194274215,-5.8224600853086255,-0.050325175327344734,12590.652448187162,1.6384857574582565,759444.4477548342,0.1338855306941884,16958.712515431023,6.778701709811269,0.006690311894211771,12449.848534977602,0.5018412041885163,-0.6648937230237458,-1.185952545295569,41.05054702136671,15776.512385580358,-0.19435658911359902,759922.6074927918,0.19693160681942193,14970.199222184508,-5.741757469643573,-0.7242738889280312,12504.868954612612,0.9459954813759134,760240.5620782853,0.23885439414360557,16956.177303333574,6.762739020657932,0.12568574163383783,12433.33730244812,0.3685536975091152
ethane,Alkanes,0.7735897435897436,236.19396769231972,857862.928271892,15681.415652014208,514.7279743730621,12151.602857063062,865733.7980814378,0.9174973705182896,14717.904195374276,-6.144288742937394,0.06572791702782721,12339.708198553239,1.5479878967640952,859241.3796430432,0.16068433845578778,16689.7428868741,6.430077852890646,0.11382005076200341,12211.945167640304,0.4965790216075737,-0.8796247143495313,-1.3919169603307417,39.877974967783395,15543.478044379215,-0.11361908944659907,859771.0551096572,0.22242793981190104,14733.719201595644,-6.043436839178713,-0.7200954134066694,12272.457273172362,0.9945553482193791,860015.6739494897,0.25094284956855145,16687.400299373992,6.415139230306482,0.21761226939274983,12194.842101250115,0.35583161082259906
ethane,Alkanes,0.786025641025641,239.99092076924296,966516.5275467557,15475.183443667402,579.6648456151374,11904.904143516833,976421.9519920811,1.0248582577752363,14469.940964318588,-6.495835626169385,0.1769191536643419,12075.780508641335,1.4353443174723788,968388.5213750016,0.19368461634044284,16410.336928435026,6.042923421048679,0.24070539810692276,11960.941033808693,0.4707042544511073,-1.1265045778368687,-1.629584818897561,38.63972827007868,15300.854793745835,-0.01600218438282306,968974.9636461238,0.2543604821335146,14488.734908806691,-6.374389928568988,-0.7061727715086518,12027.295507569312,1.028075174541667,969115.9589138677,0.268948465238348,16408.236972111536,6.029353589510751,0.32861686547806435,11943.775190013814,0.32651288938054346
ethane,Alkanes,0.7984615384615384,243.78787384616624,1084888.365370404,15262.851375846381,651.2564238014933,11646.635303661813,1097063.4052729667,1.1222389594348652,14212.869102723374,-6.879332355844168,0.2825534801529286,11797.747789983476,1.2974776180563634,1087404.3695045232,0.23191364332313014,16119.704989518725,5.613981244869637,0.38713686947498166,11695.690593581621,0.42119709805272965,-1.4083958093505016,-1.9017896855459773,37.33129903777968,15047.890016681566,0.09797401889258536,1088054.9546889213,0.29188158151518395,14234.595465016677,-6.736984364906613,-0.6834830687265827,11768.116596689897,1.0430591313346032,1088059.5402997734,0.29230426194927134,16117.892624016979,5.602106887601019,0.4588910643636686,11678.935169072556,0.27733216133751387
